Sex,Age,Year,Month,Day,Street_Number,Birthday,Surname,City,Street,State_Voted,State,Name
Male,57,1963,4,30,80,1963-4-30,Cantrell,Fremont,Third,California,California,Jordan
Male,49,1971,4,22,91,1971-4-22,Stafford,Tampa,Second,Florida,Florida,Richard
Male,77,1943,5,8,48,1943-5-8,Anthony,Louisville,First,Kentucky,Kentucky,Adam
Male,54,1966,12,7,92,1966-12-7,Pennington,Lubbock,Hill,Texas,Texas,Terry
Male,23,1997,6,10,84,1997-6-10,Kaufman,Salem,Fourth,Oregon,Oregon,Jose
Male,27,1993,3,8,25,1993-3-8,Simon,Grand Rapids,Fourth,Michigan,Michigan,Bruce
Female,44,1976,7,11,85,1976-7-11,Dickson,Ontario,Ninth,California,California,Janice
Female,65,1955,5,25,62,1955-5-25,Cummings,Anaheim,Seventh,South Carolina,California,Madison
Male,81,1939,10,12,51,1939-10-12,Crosby,Roseville,Hill,California,California,Charles
Female,34,1986,7,15,9,1986-7-15,Mcclure,Grand Prairie,First,Texas,Texas,Catherine
Female,86,1934,2,15,62,1934-2-15,Garner,Stockton,Oak,California,California,Andrea
Female,55,1965,4,8,2,1965-4-8,Cox,Roseville,Main,California,California,Sarah
Male,24,1996,7,29,46,1996-7-29,Hernandez,Elk Grove,Third,California,California,Paul
Male,25,1995,11,19,83,1995-11-19,Carney,Birmingham,Oak,Alabama,Alabama,Mark
Female,82,1938,7,26,69,1938-7-26,Merrill,Los Angeles,Pine,California,California,Kelly
Male,49,1971,4,30,84,1971-4-30,Byers,Murfreesboro,Seventh,Tennessee,Tennessee,Timothy
Female,52,1968,8,24,5,1968-8-24,Eaton,Moreno Valley,Sixth,California,California,Sandra
Female,76,1944,5,20,61,1944-5-20,Decker,Charlotte,Cedar,North Carolina,North Carolina,Susan
Male,68,1952,11,15,62,1952-11-15,Marsh,Waco,Hill,Texas,Texas,Ronald
Female,18,2002,5,9,66,2002-5-9,Herrera,Richmond,Park,Virginia,Virginia,Pamela
Male,89,1931,1,7,23,1931-1-7,Middleton,Paradise,Seventh,Nevada,Nevada,Robert
Male,28,1992,10,21,20,1992-10-21,Hendricks,Long Beach,Oak,California,California,Bradley
Female,81,1939,8,20,66,1939-8-20,Durham,Glendale,First,Arizona,Arizona,Betty
Male,83,1937,9,19,35,1937-9-19,Finley,Garland,Second,Texas,Texas,Jordan
Male,51,1969,5,26,19,1969-5-26,Riggs,Cary,Washington,North Carolina,North Carolina,David
Female,82,1938,8,16,57,1938-8-16,Wilcox,Little Rock,Sixth,Michigan,Arkansas,Brittany
Male,69,1951,1,27,10,1951-1-27,Cleveland,Escondido,View,California,California,Randy
Male,28,1992,3,8,81,1992-3-8,Freeman,Norfolk,Seventh,Virginia,Virginia,Alexander
Male,51,1969,9,24,85,1969-9-24,Mckinney,Buffalo,Sixth,New York,New York,James
Male,70,1950,11,19,76,1950-11-19,Olsen,Durham,Lake,North Carolina,North Carolina,Thomas
Female,71,1949,5,24,13,1949-5-24,Michael,Santa Clarita,Ninth,California,California,Olivia
Female,77,1943,8,12,79,1943-8-12,Savage,Salem,Ninth,Connecticut,Oregon,Margaret
Male,74,1946,8,14,46,1946-8-14,Banks,Sunrise Manor,View,Nevada,Nevada,Juan
Male,75,1945,7,12,99,1945-7-12,Cooley,Tulsa,Maple,Oklahoma,Oklahoma,Anthony
Male,83,1937,7,15,91,1937-7-15,Joyce,Sunrise Manor,Maple,Nevada,Nevada,Nathan
Female,71,1949,11,19,91,1949-11-19,Gross,Salem,Sixth,Oregon,Oregon,Christine
Female,56,1964,5,8,41,1964-5-8,Wiggins,Little Rock,Main,Arkansas,Arkansas,Judy
Female,40,1980,3,14,98,1980-3-14,Jefferson,Fremont,Cedar,California,California,Angela
Female,82,1938,10,18,4,1938-10-18,Moody,San Francisco,Main,California,California,Judith
Male,64,1956,4,1,17,1956-4-1,Cruz,Anchorage,Hill,Alaska,Alaska,Frank
Male,18,2002,12,14,50,2002-12-14,Gentry,Miami,First,Florida,Florida,Patrick
Male,32,1988,10,5,42,1988-10-5,Bolton,Sunnyvale,Oak,California,California,Jeremy
Female,80,1940,2,15,19,1940-2-15,Powell,Oceanside,Seventh,California,California,Samantha
Female,22,1998,10,23,29,1998-10-23,Raymond,Nashville,Fourth,Tennessee,Tennessee,Michelle
Male,22,1998,7,12,12,1998-7-12,Key,Henderson,Hill,Nevada,Nevada,Ralph
Male,57,1963,9,9,49,1963-9-9,Mckee,Omaha,Cedar,Nebraska,Nebraska,Bryan
Male,43,1977,8,19,67,1977-8-19,Stout,Roseville,Seventh,California,California,Jordan
Male,88,1932,2,23,17,1932-2-23,Blake,Orlando,Fifth,Florida,Florida,Robert
Female,55,1965,7,30,98,1965-7-30,Moon,Los Angeles,Second,California,California,Laura
Male,19,2001,3,10,30,2001-3-10,Pugh,Paterson,Third,New Jersey,New Jersey,Kyle
Female,72,1948,11,22,39,1948-11-22,Figueroa,New York City,Washington,New York,New York,Rose
Female,74,1946,1,11,72,1946-1-11,Pierce,Midland,Sixth,Texas,Texas,Linda
Male,87,1933,9,15,39,1933-9-15,Mcgowan,Mobile,Second,Alabama,Alabama,Paul
Female,55,1965,8,10,98,1965-8-10,Flynn,Cary,Third,North Carolina,North Carolina,Ruth
Male,52,1968,5,29,62,1968-5-29,Wiggins,Elk Grove,Pine,California,California,Willie
Female,75,1945,5,12,10,1945-5-12,Sanchez,Waco,Fifth,Texas,Texas,Stephanie
Female,69,1951,12,23,35,1951-12-23,Cross,Bridgeport,Lake,Connecticut,Connecticut,Shirley
Female,84,1936,1,15,33,1936-1-15,Blevins,Oceanside,Cedar,California,California,Catherine
Female,47,1973,7,31,93,1973-7-31,Glenn,Pittsburgh,Hill,Pennsylvania,Pennsylvania,Kathryn
Female,28,1992,10,11,13,1992-10-11,Alston,Bridgeport,Cedar,Connecticut,Connecticut,Julie
Male,36,1984,6,29,56,1984-6-29,Duke,Dallas,Maple,North Dakota,Texas,Ralph
Female,54,1966,9,24,61,1966-9-24,Blackwell,Peoria,Hill,Arizona,Arizona,Maria
Female,62,1958,12,1,16,1958-12-1,Silva,Denver,Elm,Colorado,Colorado,Rachel
Female,18,2002,11,23,57,2002-11-23,Hodge,San Francisco,Park,California,California,Kimberly
Female,49,1971,7,2,17,1971-7-2,Boyd,Grand Prairie,Ninth,Texas,Texas,Danielle
Male,71,1949,10,18,57,1949-10-18,Kirk,San Bernardino,Cedar,California,California,Stephen
Female,50,1970,10,3,95,1970-10-3,Weeks,Durham,Second,Connecticut,North Carolina,Nancy
Male,88,1932,8,29,16,1932-8-29,Roy,Shreveport,Lake,Louisiana,Louisiana,Roy
Male,24,1996,2,23,29,1996-2-23,Gray,Sioux Falls,Pine,South Dakota,South Dakota,Vincent
Male,88,1932,8,10,92,1932-8-10,Salas,Pomona,Oak,California,California,Justin
Female,89,1931,5,3,69,1931-5-3,Hansen,San Antonio,Lake,Texas,Texas,Natalie
Male,18,2002,9,12,34,2002-9-12,Perry,Birmingham,Third,Alabama,Alabama,Eric
Male,72,1948,3,12,53,1948-3-12,Petty,Reno,Oak,Nevada,Nevada,Joseph
Male,65,1955,2,2,46,1955-2-2,Jacobson,Jersey City,Fourth,New Jersey,New Jersey,Aaron
Male,32,1988,11,17,91,1988-11-17,Rosa,Rancho Cucamonga,Cedar,California,California,Gabriel
Female,52,1968,12,6,42,1968-12-6,Mccoy,Omaha,Hill,Nebraska,Nebraska,Nancy
Male,63,1957,11,1,47,1957-11-1,Meyers,Akron,Lake,Ohio,Ohio,Roy
Male,75,1945,7,11,65,1945-7-11,Stevenson,Surprise,Eighth,Arizona,Arizona,Anthony
Female,50,1970,2,23,59,1970-2-23,Randall,Glendale,Oak,Arizona,Arizona,Madison
Female,73,1947,7,30,73,1947-7-30,Sparks,Killeen,Fourth,Texas,Texas,Charlotte
Male,50,1970,10,19,42,1970-10-19,Berry,Joliet,Seventh,Illinois,Illinois,Bradley
Male,75,1945,8,20,85,1945-8-20,Abbott,Macon County,Elm,Georgia,Georgia,Peter
Male,64,1956,4,11,25,1956-4-11,Mejia,Fontana,Maple,California,California,Ethan
Male,50,1970,11,30,60,1970-11-30,Henson,Richmond,Elm,Virginia,Virginia,Albert
Male,74,1946,4,6,12,1946-4-6,Thomas,Anchorage,Sixth,Alaska,Alaska,Brandon
Male,32,1988,2,21,33,1988-2-21,Mejia,Naperville,Ninth,Illinois,Illinois,Ralph
Female,68,1952,9,1,40,1952-9-1,Moreno,Bellevue,Washington,Washington,Washington,Diane
Male,76,1944,11,13,3,1944-11-13,Monroe,Alexandria,Hill,Virginia,Virginia,Larry
Female,74,1946,8,11,19,1946-8-11,Blanchard,Little Rock,Third,Arkansas,Arkansas,Margaret
Female,45,1975,12,29,40,1975-12-29,Potts,Buffalo,Elm,New York,New York,Cynthia
Male,88,1932,1,22,59,1932-1-22,Campbell,Columbus,Fifth,Ohio,Ohio,George
Male,52,1968,8,8,19,1968-8-8,Benjamin,Rochester,Park,New York,New York,Ronald
Female,27,1993,11,26,17,1993-11-26,Sosa,Moreno Valley,Washington,California,California,Martha
Male,53,1967,5,27,96,1967-5-27,Daniels,Rancho Cucamonga,Lake,California,California,Robert
Female,85,1935,2,14,6,1935-2-14,Suarez,Arlington,Sixth,Texas,Texas,Kayla
Male,24,1996,7,26,76,1996-7-26,Pate,Orlando,Maple,Florida,Florida,Jeffrey
Female,63,1957,10,1,68,1957-10-1,Howe,Omaha,Main,Nebraska,Nebraska,Christine
Female,86,1934,2,10,60,1934-2-10,Harper,Denver,First,Colorado,Colorado,Susan
Female,42,1978,9,28,13,1978-9-28,Frederick,Enterprise,View,Nevada,Nevada,Samantha
Female,25,1995,6,14,61,1995-6-14,Vargas,Arlington,Elm,Texas,Texas,Victoria
Male,75,1945,10,22,72,1945-10-22,Roberts,Enterprise,Oak,Nevada,Nevada,Jeffrey
Female,65,1955,3,6,50,1955-3-6,Bowers,Newport News,Pine,Virginia,Virginia,Janet
Female,43,1977,3,6,66,1977-3-6,Blackwell,Laredo,Second,Texas,Texas,Olivia
Female,57,1963,10,23,12,1963-10-23,Velazquez,Roseville,Hill,California,California,Amber
Male,72,1948,11,2,20,1948-11-2,Boyle,Hialeah,Ninth,Florida,Florida,Benjamin
Male,41,1979,5,13,45,1979-5-13,Tillman,Cape Coral,Main,Florida,Florida,Anthony
Female,49,1971,1,28,3,1971-1-28,Hayden,Irving,Second,Texas,Texas,Amber
Female,76,1944,2,15,82,1944-2-15,Lambert,Oklahoma City,Third,Oklahoma,Oklahoma,Joan
Male,73,1947,3,9,42,1947-3-9,Ayala,Sunrise Manor,Pine,Nevada,Nevada,Ryan
Female,76,1944,8,6,84,1944-8-6,Kirby,San Francisco,Hill,California,California,Sarah
Female,48,1972,4,25,63,1972-4-25,Frank,Jackson,Cedar,Mississippi,Mississippi,Doris
Female,39,1981,4,16,19,1981-4-16,Navarro,Boise,Fifth,Idaho,Idaho,Danielle
Female,54,1966,6,5,40,1966-6-5,Irwin,Las Vegas,Park,Nevada,Nevada,Jennifer
Male,26,1994,7,26,43,1994-7-26,Roman,Springfield,Lake,Missouri,Missouri,Gabriel
Female,58,1962,7,1,65,1962-7-1,Solomon,Midland,Lake,Texas,Texas,Doris
Female,26,1994,8,31,36,1994-8-31,Mullins,Denton,Elm,Texas,Texas,Sophia
Male,83,1937,9,21,10,1937-9-21,Riddle,Akron,Sixth,Ohio,Ohio,Adam
Male,62,1958,8,19,55,1958-8-19,Mcneil,Austin,Seventh,Texas,Texas,William
Female,42,1978,9,7,78,1978-9-7,Maynard,Enterprise,Ninth,Nevada,Nevada,Carol
Male,40,1980,4,14,12,1980-4-14,Lawson,Bellevue,Pine,Washington,Washington,Ryan
Male,49,1971,9,1,24,1971-9-1,Jacobs,Rancho Cucamonga,Park,California,California,Kevin
Male,67,1953,1,1,22,1953-1-1,Blake,Wichita,Washington,Kansas,Kansas,Sean
Male,60,1960,2,5,59,1960-2-5,Wilson,Louisville,Cedar,Kentucky,Kentucky,Arthur
Male,84,1936,3,13,27,1936-3-13,Robinson,Durham,Pine,North Carolina,North Carolina,Eric
Female,55,1965,1,24,65,1965-1-24,Humphrey,Salt Lake City,Ninth,Utah,Utah,Victoria
Female,83,1937,4,24,17,1937-4-24,Gates,Cape Coral,Third,Florida,Florida,Ann
Female,67,1953,4,23,71,1953-4-23,West,Pittsburgh,Eighth,Pennsylvania,Pennsylvania,Mary
Male,34,1986,6,12,64,1986-6-12,Blankenship,Houston,Main,Texas,Texas,Kevin
Male,41,1979,6,21,86,1979-6-21,Greene,Honolulu,Washington,Hawaii,Hawaii,Jeremy
Male,46,1974,11,15,40,1974-11-15,Hubbard,Houston,Main,Texas,Texas,Kyle
Male,26,1994,5,8,84,1994-5-8,Clay,Huntsville,Eighth,Alabama,Alabama,David
Female,57,1963,3,30,81,1963-3-30,Newman,Indianapolis,Hill,Indiana,Indiana,Angela
Female,64,1956,3,21,26,1956-3-21,Freeman,Richmond,Sixth,Virginia,Virginia,Donna
Male,56,1964,11,29,28,1964-11-29,Jenkins,Oceanside,Fourth,California,California,Harold
Male,42,1978,6,29,61,1978-6-29,Snow,Rancho Cucamonga,Park,California,California,Raymond
Female,25,1995,3,28,96,1995-3-28,Johnson,Plano,Main,Texas,Texas,Theresa
Male,38,1982,5,1,39,1982-5-1,Dickson,Stockton,Oak,California,California,Kevin
Male,20,2000,1,29,7,2000-1-29,Love,Los Angeles,View,California,California,Jordan
Female,59,1961,2,26,77,1961-2-26,Hawkins,McAllen,Fourth,Texas,Texas,Katherine
Male,86,1934,4,12,50,1934-4-12,Rojas,Murfreesboro,Lake,Tennessee,Tennessee,Jerry
Male,32,1988,2,25,7,1988-2-25,White,Boston,Eighth,Massachusetts,Massachusetts,Roy
Male,74,1946,2,21,58,1946-2-21,Spencer,Norfolk,Oak,Virginia,Virginia,Jeremy
Female,42,1978,1,29,8,1978-1-29,Mcgee,Thornton,Cedar,Colorado,Colorado,Kimberly
Male,57,1963,1,31,50,1963-1-31,Howard,Colorado Springs,Oak,Colorado,Colorado,Charles
Female,20,2000,5,13,51,2000-5-13,Ware,Madison,Maple,Wisconsin,Wisconsin,Angela
Female,49,1971,10,13,63,1971-10-13,Holmes,Chandler,Third,Arizona,Arizona,Diane
Female,77,1943,7,9,80,1943-7-9,Gamble,Santa Ana,Second,California,California,Lisa
Male,69,1951,7,29,39,1951-7-29,Hogan,McAllen,Maple,Texas,Texas,Matthew
Female,78,1942,2,21,48,1942-2-21,Garrison,San Juan,Hill,Puerto Rico,Puerto Rico,Sandra
Male,68,1952,7,26,5,1952-7-26,Rice,Pasadena,Sixth,Texas,Texas,Richard
Female,60,1960,10,5,23,1960-10-5,Oliver,Rancho Cucamonga,Lake,California,California,Kayla
Male,24,1996,9,15,92,1996-9-15,Leonard,Jacksonville,Park,Florida,Florida,Benjamin
Female,74,1946,10,28,2,1946-10-28,Whitaker,Santa Ana,Park,California,California,Victoria
Male,82,1938,1,6,87,1938-1-6,Reyes,Minneapolis,Third,Minnesota,Minnesota,Austin
Female,24,1996,2,16,34,1996-2-16,Stevens,Austin,Oak,Texas,Texas,Debra
Male,89,1931,2,11,62,1931-2-11,Bonner,Fayetteville,Maple,North Carolina,North Carolina,Roger
Male,79,1941,6,21,48,1941-6-21,Ellis,Denver,Lake,Colorado,Colorado,Ronald
Male,65,1955,6,29,61,1955-6-29,Carlson,Knoxville,First,Tennessee,Tennessee,Anthony
Male,71,1949,10,1,64,1949-10-1,Moreno,Philadelphia,Pine,Pennsylvania,Pennsylvania,Matthew
Male,24,1996,3,22,83,1996-3-22,Lynn,Glendale,Eighth,Arizona,Arizona,Jerry
Male,78,1942,2,4,71,1942-2-4,Schultz,Wichita,Third,Kansas,Kansas,Christopher
Male,40,1980,11,5,11,1980-11-5,Rush,Killeen,Fourth,Maryland,Texas,Joshua
Male,86,1934,12,26,19,1934-12-26,Mosley,Fort Wayne,Sixth,Indiana,Indiana,Richard
Male,66,1954,4,5,80,1954-4-5,Wilkins,Huntsville,Fifth,Alabama,Alabama,Robert
Female,84,1936,3,18,19,1936-3-18,Bullock,Sioux Falls,View,South Dakota,South Dakota,Nicole
Female,49,1971,8,1,90,1971-8-1,Rollins,Reno,Fourth,Louisiana,Nevada,Kelly
Male,88,1932,7,24,95,1932-7-24,Vinson,Norfolk,Washington,Virginia,Virginia,Jordan
Female,18,2002,7,28,48,2002-7-28,Campbell,Stockton,Eighth,California,California,Doris
Male,33,1987,4,15,66,1987-4-15,Conrad,San Diego,Seventh,California,California,Randy
Female,26,1994,7,8,98,1994-7-8,Grant,Sunnyvale,Eighth,California,California,Diane
Female,45,1975,4,8,99,1975-4-8,Holt,New Orleans,First,Louisiana,Louisiana,Emma
Female,24,1996,7,29,45,1996-7-29,Mays,Henderson,Fourth,Nevada,Nevada,Diana
Female,86,1934,10,13,1,1934-10-13,Sanford,Boise,Sixth,Idaho,Idaho,Jean
Male,84,1936,7,8,1,1936-7-8,Young,Dallas,Elm,Texas,Texas,Paul
Female,28,1992,9,30,79,1992-9-30,Cortez,Peoria,View,California,Arizona,Alice
Male,37,1983,6,4,80,1983-6-4,Hardin,Springfield,Eighth,Missouri,Missouri,Kyle
Male,52,1968,8,12,64,1968-8-12,Higgins,North Las Vegas,View,Nevada,Nevada,Billy
Female,18,2002,5,15,19,2002-5-15,Atkinson,Lincoln,Washington,Nebraska,Nebraska,Kayla
Male,40,1980,6,23,48,1980-6-23,Riley,Greensboro,Seventh,North Carolina,North Carolina,John
Male,42,1978,10,16,55,1978-10-16,Gordon,Memphis,View,Tennessee,Tennessee,Mark
Male,36,1984,6,12,45,1984-6-12,Roy,Albuquerque,Hill,New Mexico,New Mexico,James
Male,34,1986,5,19,69,1986-5-19,Hudson,Augusta,Oak,Georgia,Georgia,Noah
Male,64,1956,2,3,77,1956-2-3,Armstrong,San Bernardino,Fourth,California,California,Austin
Male,43,1977,6,5,37,1977-6-5,Banks,Mobile,Sixth,Alabama,Alabama,Stephen
Male,31,1989,3,21,100,1989-3-21,Lyons,Surprise,Pine,Arizona,Arizona,Kyle
Male,43,1977,11,16,12,1977-11-16,Craft,Sacramento,Washington,California,California,Juan
Female,60,1960,3,17,53,1960-3-17,Johns,Richmond,Hill,Virginia,Virginia,Judith
Male,27,1993,7,30,43,1993-7-30,Wilder,Garland,Ninth,Texas,Texas,George
Male,84,1936,1,9,11,1936-1-9,Herman,Cary,Maple,North Carolina,North Carolina,Bobby
Male,71,1949,9,27,49,1949-9-27,Gay,Grand Prairie,Park,Texas,Texas,Daniel
Male,65,1955,2,8,69,1955-2-8,Kline,Mesa,View,Arizona,Arizona,Keith
Female,32,1988,7,30,55,1988-7-30,Mcneil,Rochester,Seventh,New York,New York,Joyce
Male,55,1965,5,12,100,1965-5-12,Sampson,Murfreesboro,Maple,Tennessee,Tennessee,David
Male,70,1950,10,10,90,1950-10-10,Mckay,Akron,Pine,Ohio,Ohio,Billy
Female,90,1930,8,18,87,1930-8-18,Acosta,San Antonio,Lake,Texas,Texas,Grace
Male,47,1973,2,20,73,1973-2-20,Robertson,Salem,Sixth,Oregon,Oregon,Patrick
Female,66,1954,3,19,50,1954-3-19,Wood,Oceanside,Second,California,California,Martha
Male,78,1942,7,11,90,1942-7-11,Stein,Roseville,Ninth,California,California,Timothy
Female,55,1965,11,8,4,1965-11-8,Collins,Tulsa,View,Oklahoma,Oklahoma,Victoria
Male,76,1944,3,17,35,1944-3-17,Crane,Corona,Maple,California,California,Logan
Male,61,1959,9,30,96,1959-9-30,Hays,Aurora,Lake,Colorado,Colorado,Harold
Female,61,1959,2,15,12,1959-2-15,Travis,Aurora,Eighth,Colorado,Colorado,Elizabeth
Female,52,1968,8,2,18,1968-8-2,Nunez,Springfield,Pine,Missouri,Missouri,Dorothy
Male,46,1974,3,31,15,1974-3-31,Harrell,New York City,Sixth,New York,New York,Scott
Female,51,1969,9,7,20,1969-9-7,Talley,Sunnyvale,Sixth,California,California,Marilyn
Male,37,1983,11,1,23,1983-11-1,Bruce,St. Paul,View,Minnesota,Minnesota,Larry
Male,23,1997,1,30,78,1997-1-30,Ramirez,Philadelphia,Elm,Pennsylvania,Pennsylvania,Roy
Male,89,1931,12,12,49,1931-12-12,Conner,Sunrise Manor,Maple,Nevada,Nevada,Stephen
Female,88,1932,1,26,27,1932-1-26,Ross,Honolulu,Elm,Iowa,Hawaii,Joan
Male,81,1939,9,12,85,1939-9-12,Graves,Denver,Maple,Colorado,Colorado,Dylan
Female,33,1987,3,5,91,1987-3-5,Guthrie,Winston-Salem,Eighth,North Carolina,North Carolina,Deborah
Female,23,1997,8,1,4,1997-8-1,Jones,Plano,Cedar,Texas,Texas,Julie
Female,51,1969,1,4,24,1969-1-4,Haynes,Cape Coral,Eighth,Florida,Florida,Diana
Female,28,1992,7,25,27,1992-7-25,Peterson,Austin,Washington,Texas,Texas,Judith
Male,63,1957,11,4,53,1957-11-4,Jimenez,Lubbock,View,Texas,Texas,Robert
Female,22,1998,10,8,68,1998-10-8,Lopez,Chula Vista,Washington,California,California,Katherine
Male,70,1950,3,24,50,1950-3-24,Hardin,Cape Coral,Pine,Florida,Florida,Harold
Female,86,1934,2,1,70,1934-2-1,House,Lincoln,Pine,Nebraska,Nebraska,Samantha
Female,23,1997,2,20,38,1997-2-20,Decker,Chandler,Cedar,Arizona,Arizona,Judy
Male,25,1995,3,19,12,1995-3-19,David,Baltimore,Eighth,Maryland,Maryland,Ryan
Male,84,1936,6,18,85,1936-6-18,Stanton,Sacramento,Maple,Kentucky,California,Harold
Female,72,1948,10,22,59,1948-10-22,Talley,Plano,Oak,Texas,Texas,Donna
Male,83,1937,1,12,98,1937-1-12,Maddox,Paradise,Washington,Nevada,Nevada,Jose
Male,82,1938,12,5,62,1938-12-5,Gentry,Jacksonville,Maple,Florida,Florida,Jacob
Female,88,1932,1,27,79,1932-1-27,Bradley,Tallahassee,Park,Florida,Florida,Rebecca
Female,58,1962,2,26,81,1962-2-26,Luna,Irvine,Sixth,California,California,Jessica
Male,88,1932,4,6,78,1932-4-6,Wise,Louisville,Elm,Kentucky,Kentucky,Kyle
Male,83,1937,2,22,44,1937-2-22,Gibson,Waco,Washington,Texas,Texas,Joseph
Male,27,1993,6,3,1,1993-6-3,Hudson,Glendale,Main,Arizona,Arizona,Dennis
Female,73,1947,6,20,74,1947-6-20,Parks,Waco,Hill,Texas,Texas,Nicole
Male,71,1949,2,6,10,1949-2-6,Haynes,Anchorage,View,Alaska,Alaska,Bruce
Male,33,1987,4,1,36,1987-4-1,Meadows,Cape Coral,Main,Florida,Florida,Donald
Female,39,1981,9,30,34,1981-9-30,Hart,Paterson,Pine,New Jersey,New Jersey,Sophia
Female,18,2002,2,8,53,2002-2-8,Craft,Des Moines,First,Iowa,Iowa,Judy
Female,76,1944,5,31,78,1944-5-31,Simon,Spokane,Main,Washington,Washington,Angela
Female,22,1998,4,29,43,1998-4-29,Simon,Glendale,Third,Arizona,Arizona,Virginia
Female,19,2001,6,2,47,2001-6-2,Cooper,Hollywood,View,Florida,Florida,Danielle
Female,21,1999,12,4,4,1999-12-4,Strong,Roseville,Second,California,California,Shirley
Male,72,1948,4,5,74,1948-4-5,Lindsay,Lexington,Fifth,Kentucky,Kentucky,Michael
Male,87,1933,5,12,77,1933-5-12,Harrington,Stockton,Fifth,California,California,Bruce
Male,72,1948,5,6,39,1948-5-6,Shepherd,Enterprise,Fourth,Nevada,Nevada,Terry
Female,60,1960,5,14,74,1960-5-14,Gutierrez,Brownsville,Park,Texas,Texas,Jessica
Male,33,1987,11,21,67,1987-11-21,Lang,St. Louis,Main,Missouri,Missouri,Roy
Male,53,1967,2,26,49,1967-2-26,Pace,Thornton,Fourth,Colorado,Colorado,Mark
Male,20,2000,1,4,6,2000-1-4,Atkinson,San Juan,Lake,Puerto Rico,Puerto Rico,Nicholas
Female,62,1958,9,29,23,1958-9-29,Bryant,Greensboro,View,North Carolina,North Carolina,Alice
Female,86,1934,7,9,73,1934-7-9,Hopper,Lexington,Lake,Indiana,Kentucky,Linda
Male,57,1963,11,28,89,1963-11-28,Ewing,Virginia Beach,View,Virginia,Virginia,Jeremy
Male,57,1963,12,28,31,1963-12-28,Riddle,San Jose,Washington,California,California,Matthew
Male,53,1967,2,2,61,1967-2-2,Salazar,Honolulu,Hill,Hawaii,Hawaii,Anthony
Male,41,1979,2,6,42,1979-2-6,Clemons,Boston,Washington,Massachusetts,Massachusetts,Ronald
Female,71,1949,7,5,72,1949-7-5,Ray,Des Moines,Third,Iowa,Iowa,Rebecca
Male,77,1943,10,3,83,1943-10-3,Maldonado,San Francisco,Seventh,California,California,Kenneth
Female,18,2002,10,8,25,2002-10-8,Johnston,Sunnyvale,Fourth,California,California,Teresa
Female,78,1942,1,20,29,1942-1-20,Gentry,Richmond,Eighth,Virginia,Virginia,Cynthia
